id_setting,n_data,alpha,n_seed,method,minVar,minCVar,beta_var,p1,p2,rho,a,b,NoExcVaR
NC,1000,0.9,2,real,112,202.0,364,0.20104108412425192,0.05407193165127616,0.08500878440774888,2.163903733361799,8.599586439647263,217
NC,1000,0.9,2,KNN,97,189.0,248,0.18816563554979873,0.037302096694555566,0.012410307791156441,14.973878587394514,64.60430019980672,210
NC,1000,0.9,2,MLP,104,194.0,325,0.1936229512413493,0.046534674110642715,0.057930231525757256,3.148724319626139,13.113419705387372,213
NC,1000,0.9,2,AdaBoostClassifier,115,205.0,349,0.20418283980073287,0.05268811110548498,0.06768003949174992,2.8127013306026374,10.962703759429829,218
NC,1000,0.9,2,RandomForest,94,186.0,314,0.1851118451925197,0.042990579573681416,0.05783525022069629,3.0155632532598444,13.274929935306854,207
NC,1000,0.9,2,LogisticRegression,104,195.0,315,0.19406454032580434,0.045396443711028,0.049457960790438266,3.7297636407026555,15.489428255161569,211
NC,1000,0.9,3,real,132,220.0,385,0.2195653665323364,0.062297235091132025,0.0822162671850341,2.45101764641571,8.712025437861302,220
NC,1000,0.9,3,KNN,120,209.0,307,0.20853233172621216,0.048677738542810635,0.031457813850832406,6.420419467500624,24.368184939081146,217
NC,1000,0.9,3,MLP,131,219.0,387,0.21817551980295832,0.06221944068192502,0.08570357007992836,2.327523797035169,8.340601568890495,216
NC,1000,0.9,3,AdaBoostClassifier,140,227.0,424,0.2262771388767424,0.07078415683989889,0.11185334459420984,1.7967033960148187,6.143574640622144,217
NC,1000,0.9,3,RandomForest,120,209.0,382,0.2086179946863605,0.05872492811804282,0.09208831154257709,2.056794316518627,7.80234712335509,219
NC,1000,0.9,3,LogisticRegression,130,218.0,372,0.21783288230196504,0.059756313393695,0.07222106308437981,2.7983631275443477,10.048012947419343,213
NC,1000,0.9,4,real,110,200.0,358,0.19927011108545603,0.05262823426009055,0.08096974735333888,2.2617738911725773,9.088517825018185,220
NC,1000,0.9,4,KNN,123,210.0,334,0.21091958476613576,0.05257231120278082,0.048579690310893056,4.130803950652568,15.45392999063749,228
NC,1000,0.9,4,MLP,122,211.0,359,0.2105338293694978,0.055836252928515705,0.06926060769137055,2.8292002472884272,10.6090213238543,232
NC,1000,0.9,4,AdaBoostClassifier,116,205.0,363,0.20454848398520298,0.05472571961642779,0.07919466470308179,2.3783083884076555,9.248804861572252,230
NC,1000,0.9,4,RandomForest,118,207.0,372,0.20646623030184658,0.05670847706134405,0.08593964258475885,2.1959900063321194,8.440083520663759,228
NC,1000,0.9,4,LogisticRegression,123,212.0,345,0.21130784640117897,0.0540568375296425,0.05643831692426986,3.5327415497695567,13.185717371353505,228
NC,5000,0.9,1,real,585,1027.0,1873,0.20534069262775173,0.05687379012126725,0.09014193114475047,2.072630170088834,8.020986166954065,1041
NC,5000,0.9,1,KNN,604,1044.0,1529,0.20877484086442738,0.04878979713194728,0.031496633490587414,6.419706292740676,24.3297186195708,1072
NC,5000,0.9,1,MLP,620,1059.0,1901,0.21162181220141588,0.05941771452237636,0.08771335845508843,2.2010302165628675,8.1997417708879,1079
NC,5000,0.9,1,AdaBoostClassifier,613,1052.0,1899,0.21034212627258134,0.05902524029702957,0.08899205332975352,2.1532635935906748,8.083694792958442,1092
